"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72493023230","2019-01-01T00:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.10","17","48","0.00",,"-0.01","3","29","30.10","CLR:00","30.00","10.00","37","VRB",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09701/01/19 00:53:02 METAR KOAK 010853Z VRB04KT 10SM CLR 09/M08 A3010 RMK AO2 SLP192 T00891083 53005","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-02-15"
"72493023230","2019-01-01T01:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.13","17","47","0.00",,,,"30","30.13","CLR:00","30.03","10.00","36","VRB",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09101/01/19 01:53:02 METAR KOAK 010953Z VRB04KT 10SM CLR 08/M08 A3013 RMK AO2 SLP202 T00831083","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-02-15"
"72493023230","2019-01-01T02:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.16","14","48","0.00",,,,"25","30.16","CLR:00","30.06","10.00","36","340",,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09101/01/19 02:53:02 METAR KOAK 011053Z 34009KT 10SM CLR 09/M10 A3016 RMK AO2 SLP213 T00891100","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-02-15"
"72493023230","2019-01-01T03:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.16","16","47","0.00",,"-0.06","1","29","30.16","CLR:00","30.06","10.00","36","010",,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10901/01/19 03:53:02 METAR KOAK 011153Z 01010KT 10SM CLR 08/M09 A3016 RMK AO2 SLP213 T00831089 10106 20078 51021","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-02-15"
"72493023230","2019-01-01T04:51:00","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.17","12","46",,,,,"25",,"CLR:00","30.07","10.00","34","070",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET08401/01/19 04:51:02 SPECI KOAK 011251Z 07003KT 10SM CLR 08/M11 A3017 RMK AO2 FIBI (DB)","FM-16","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-02-15"
"72493023230","2019-01-01T04:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.17","13","46","0.00",,,,"26","30.17","CLR:00","30.07","10.00","35","VRB",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09101/01/19 04:53:02 METAR KOAK 011253Z VRB05KT 10SM CLR 08/M11 A3017 RMK AO2 SLP216 T00781106","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-02-15"
"72493023230","2019-01-01T05:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.21","15","44","0.00",,,,"31","30.20","CLR:00","30.11","10.00","34","010",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09101/01/19 05:53:02 METAR KOAK 011353Z 01005KT 10SM CLR 07/M09 A3021 RMK AO2 SLP228 T00671094","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-02-15"
"72493023230","2019-01-01T06:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.23","14","45","0.00",,"-0.06","3","29","30.22","FEW:02 200","30.13","10.00","34","360",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10001/01/19 06:53:02 METAR KOAK 011453Z 36006KT 10SM FEW200 07/M10 A3023 RMK AO2 SLP235 T00721100 53019","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-02-15"
"72493023230","2019-01-01T07:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.26","15","46","0.00",,,,"29","30.26","OVC:08 250","30.16","10.00","35","020",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09401/01/19 07:53:02 METAR KOAK 011553Z 02008KT 10SM OVC250 08/M09 A3026 RMK AO2 SLP246 T00781094","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-02-15"
"72493023230","2019-01-01T08:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.27","15","50","0.00",,,,"25","30.26","BKN:07 250","30.17","10.00","37","070",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09401/01/19 08:53:02 METAR KOAK 011653Z 07003KT 10SM BKN250 10/M09 A3027 RMK AO2 SLP248 T01001094","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-02-15"
